S-14-4-4-51-NR,0.03379487991333008,2478,[[[4, 14, 12, 9], [12, 9, 9, 11], [9, 9, 6, 10], [6, 3, 4, 11]], [[14, 9, 6, 7], [6, 11, 5, 7], [5, 10, 12, 1], [12, 11, 4, 14]], [[14, 7, 2, 1], [2, 7, 9, 5], [9, 1, 1, 8], [1, 14, 9, 11]], [[5, 1, 14, 14], [14, 5, 3, 7], [3, 8, 6, 9], [6, 11, 8, 12]]]
S-14-4-4-52-NR,0.0050716400146484375,457,[[[5, 1, 8, 11], [8, 12, 1, 1], [1, 9, 9, 7], [9, 8, 14, 8]], [[6, 11, 1, 4], [1, 1, 2, 3], [2, 7, 3, 8], [3, 8, 7, 4]], [[1, 4, 11, 5], [11, 3, 8, 13], [8, 8, 8, 7], [8, 4, 3, 2]], [[3, 5, 14, 13], [14, 13, 1, 7], [1, 7, 10, 14], [10, 2, 3, 6]]]
S-14-4-4-53-NR,0.0642247200012207,5362,[[[10, 14, 3, 6], [3, 4, 12, 3], [12, 8, 5, 12], [5, 9, 12, 1]], [[8, 6, 3, 1], [3, 3, 6, 4], [6, 12, 8, 4], [8, 1, 12, 4]], [[9, 1, 3, 3], [3, 4, 6, 9], [6, 4, 13, 11], [13, 4, 6, 14]], [[12, 3, 6, 8], [6, 9, 9, 12], [9, 11, 11, 1], [11, 14, 14, 1]]]
S-14-4-4-54-NR,0.03264451026916504,2498,[[[3, 8, 1, 8], [1, 9, 13, 9], [13, 5, 8, 10], [8, 8, 8, 2]], [[7, 8, 9, 6], [9, 9, 9, 5], [9, 10, 7, 5], [7, 2, 4, 9]], [[8, 6, 3, 2], [3, 5, 11, 5], [11, 5, 5, 8], [5, 9, 6, 10]], [[10, 2, 1, 12], [1, 5, 7, 7], [7, 8, 11, 4], [11, 10, 12, 4]]]
S-14-4-4-55-NR,0.0034987926483154297,350,[[[2, 4, 9, 7], [9, 3, 7, 9], [7, 12, 7, 6], [7, 5, 14, 12]], [[2, 7, 7, 9], [7, 9, 13, 11], [13, 6, 1, 11], [1, 12, 12, 5]], [[3, 9, 1, 4], [1, 11, 9, 12], [9, 11, 1, 10], [1, 5, 5, 8]], [[2, 4, 14, 6], [14, 12, 4, 12], [4, 10, 1, 14], [1, 8, 11, 8]]]
S-14-4-4-56-NR,0.0029511451721191406,184,[[[14, 9, 6, 11], [6, 1, 5, 10], [5, 8, 4, 1], [4, 11, 9, 13]], [[5, 11, 10, 4], [10, 10, 1, 10], [1, 1, 9, 3], [9, 13, 13, 7]], [[9, 4, 11, 1], [11, 10, 3, 7], [3, 3, 4, 3], [4, 7, 7, 2]], [[12, 1, 10, 4], [10, 7, 4, 2], [4, 3, 9, 6], [9, 2, 10, 2]]]
S-14-4-4-57-NR,0.006616115570068359,536,[[[1, 6, 12, 3], [12, 10, 9, 10], [9, 10, 6, 7], [6, 1, 4, 7]], [[9, 3, 2, 11], [2, 10, 12, 10], [12, 7, 11, 8], [11, 7, 6, 9]], [[8, 11, 5, 14], [5, 10, 11, 10], [11, 8, 3, 10], [3, 9, 5, 3]], [[7, 14, 3, 11], [3, 10, 7, 14], [7, 10, 9, 7], [9, 3, 1, 14]]]
S-14-4-4-58-NR,0.016523122787475586,2403,[[[10, 4, 10, 7], [10, 4, 5, 14], [5, 12, 10, 2], [10, 11, 4, 1]], [[1, 7, 8, 4], [8, 14, 8, 13], [8, 2, 2, 8], [2, 1, 4, 9]], [[8, 4, 11, 7], [11, 13, 11, 6], [11, 8, 1, 2], [1, 9, 7, 13]], [[6, 7, 11, 5], [11, 6, 13, 13], [13, 2, 3, 5], [3, 13, 8, 13]]]
S-14-4-4-59-NR,0.0014905929565429688,229,[[[4, 2, 8, 13], [8, 11, 9, 5], [9, 8, 13, 3], [13, 1, 3, 12]], [[14, 13, 10, 6], [10, 5, 11, 3], [11, 3, 9, 2], [9, 12, 5, 2]], [[12, 6, 6, 11], [6, 3, 1, 14], [1, 2, 6, 5], [6, 2, 1, 2]], [[11, 11, 1, 10], [1, 14, 4, 1], [4, 5, 12, 14], [12, 2, 8, 7]]]
S-14-4-4-60-NR,0.019111156463623047,2667,[[[5, 5, 3, 3], [3, 10, 7, 1], [7, 3, 4, 11], [4, 5, 4, 13]], [[13, 3, 1, 7], [1, 1, 13, 12], [13, 11, 3, 3], [3, 13, 8, 5]], [[8, 7, 10, 11], [10, 12, 13, 11], [13, 3, 3, 9], [3, 5, 6, 10]], [[1, 11, 9, 13], [9, 11, 13, 14], [13, 9, 10, 2], [10, 10, 11, 14]]]
