S-2-3-3-62-NR,0.0018463134765625,185,[[[2, 1, 1, 1], [1, 1, 1, 2], [1, 2, 2, 1]], [[1, 1, 2, 2], [2, 2, 2, 1], [2, 1, 2, 1]], [[2, 2, 1, 1], [1, 1, 1, 1], [1, 1, 2, 1]]]
S-2-3-3-63-NR,0.0073049068450927734,960,[[[1, 2, 2, 2], [2, 2, 2, 1], [2, 2, 1, 1]], [[1, 2, 1, 1], [1, 1, 1, 2], [1, 1, 2, 1]], [[1, 1, 1, 1], [1, 2, 2, 1], [2, 1, 2, 1]]]
S-2-3-3-64-NR,0.0007052421569824219,86,[[[1, 1, 2, 1], [2, 1, 1, 1], [1, 1, 1, 2]], [[2, 1, 1, 1], [1, 1, 1, 1], [1, 2, 1, 2]], [[2, 1, 1, 1], [1, 1, 1, 1], [1, 2, 2, 1]]]
S-2-3-3-65-NR,0.0007803440093994141,63,[[[2, 2, 2, 1], [2, 2, 2, 1], [2, 1, 2, 2]], [[2, 1, 2, 1], [2, 1, 1, 1], [1, 2, 2, 1]], [[2, 1, 2, 2], [2, 1, 1, 2], [1, 1, 1, 1]]]
S-2-3-3-66-NR,0.0014727115631103516,90,[[[1, 1, 1, 2], [1, 2, 1, 2], [1, 2, 2, 1]], [[2, 2, 2, 2], [2, 2, 1, 1], [1, 1, 2, 2]], [[1, 2, 1, 2], [1, 1, 1, 1], [1, 2, 2, 1]]]
S-2-3-3-67-NR,0.0007240772247314453,47,[[[2, 1, 1, 1], [1, 1, 1, 1], [1, 2, 2, 2]], [[2, 1, 2, 1], [2, 1, 2, 2], [2, 2, 1, 2]], [[1, 1, 2, 1], [2, 2, 1, 1], [1, 2, 2, 1]]]
S-2-3-3-68-NR,0.00133514404296875,97,[[[2, 1, 2, 1], [2, 1, 2, 1], [2, 1, 2, 1]], [[1, 1, 2, 2], [2, 1, 2, 2], [2, 1, 1, 1]], [[2, 2, 2, 1], [2, 2, 1, 1], [1, 1, 1, 1]]]
S-2-3-3-69-NR,0.007097959518432617,423,[[[1, 1, 1, 2], [1, 1, 1, 2], [1, 1, 2, 1]], [[1, 2, 2, 2], [2, 2, 2, 1], [2, 1, 1, 1]], [[1, 2, 2, 2], [2, 1, 2, 2], [2, 1, 1, 2]]]
S-2-3-3-70-NR,0.0016925334930419922,104,[[[2, 2, 2, 2], [2, 2, 1, 1], [1, 2, 1, 2]], [[1, 2, 2, 1], [2, 1, 2, 2], [2, 2, 2, 1]], [[2, 1, 2, 1], [2, 2, 1, 2], [1, 1, 2, 1]]]
S-2-3-3-71-NR,0.0015912055969238281,100,[[[2, 1, 2, 1], [2, 1, 2, 1], [2, 1, 2, 1]], [[2, 1, 1, 2], [1, 1, 2, 1], [2, 1, 1, 1]], [[2, 2, 2, 1], [2, 1, 2, 1], [2, 1, 1, 1]]]
